# Cleanup candidates (.tmp.driveupload older than 30 days)

FullName                                        SizeMB LastWriteTime
C:\Users\mana4\Desktop\.tmp.driveupload\3094609   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094805   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094643   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094817   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094789   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094769   0.01 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094601   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094809   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094621   0.01 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094781   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094813   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094825   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094581   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094625   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094605   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094763   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094595   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094731   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094755   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094749   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094759   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094765   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094697   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094563   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094793   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094633   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094559   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094827   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094663   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094629   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094577   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094645   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094777   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094797   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094575   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094585   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094737   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094785   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094597   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094801   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094775   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094665   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094567   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094655   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094741   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094659   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094705   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094637   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094725   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094617   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094721   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094733   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094701   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094729   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094773   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094713   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094651   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094669   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094835   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094647   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094571   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094839   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094693   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094681   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094843   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094613   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094591   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3095877   1.24 2025/12/28 17:10:57
C:\Users\mana4\Desktop\.tmp.driveupload\3095881   0.01 2025/12/28 17:10:57
C:\Users\mana4\Desktop\.tmp.driveupload\3095879   0.00 2025/12/28 17:10:57
C:\Users\mana4\Desktop\.tmp.driveupload\3096697   0.00 2025/12/28 17:11:00
C:\Users\mana4\Desktop\.tmp.driveupload\3096693   0.03 2025/12/28 17:11:00
C:\Users\mana4\Desktop\.tmp.driveupload\3096695   0.00 2025/12/28 17:11:00
C:\Users\mana4\Desktop\.tmp.driveupload\3096759   0.04 2025/12/28 17:11:02
C:\Users\mana4\Desktop\.tmp.driveupload\3096763   0.00 2025/12/28 17:11:02
C:\Users\mana4\Desktop\.tmp.driveupload\3096761   0.00 2025/12/28 17:11:02
C:\Users\mana4\Desktop\.tmp.driveupload\3097303   0.00 2025/12/28 17:13:58
C:\Users\mana4\Desktop\.tmp.driveupload\3097307   0.01 2025/12/28 17:13:58
C:\Users\mana4\Desktop\.tmp.driveupload\3097305   0.00 2025/12/28 17:13:58
C:\Users\mana4\Desktop\.tmp.driveupload\3099157  37.15 2025/12/28 17:25:23
C:\Users\mana4\Desktop\.tmp.driveupload\3099443   0.08 2025/12/28 17:25:23
C:\Users\mana4\Desktop\.tmp.driveupload\3099445   0.01 2025/12/28 17:25:23
C:\Users\mana4\Desktop\.tmp.driveupload\3099585   0.00 2025/12/28 17:25:27
C:\Users\mana4\Desktop\.tmp.driveupload\3099587   1.58 2025/12/28 17:25:27
C:\Users\mana4\Desktop\.tmp.driveupload\3099589   0.01 2025/12/28 17:25:27
C:\Users\mana4\Desktop\.tmp.driveupload\3099809   0.08 2025/12/28 17:25:29
C:\Users\mana4\Desktop\.tmp.driveupload\3099807   0.01 2025/12/28 17:25:29
C:\Users\mana4\Desktop\.tmp.driveupload\3099811   0.00 2025/12/28 17:25:29
C:\Users\mana4\Desktop\.tmp.driveupload\3099971   0.10 2025/12/28 17:25:32
C:\Users\mana4\Desktop\.tmp.driveupload\3099975   0.01 2025/12/28 17:25:32
C:\Users\mana4\Desktop\.tmp.driveupload\3099973   0.00 2025/12/28 17:25:32
C:\Users\mana4\Desktop\.tmp.driveupload\3100093   0.00 2025/12/28 17:25:35
C:\Users\mana4\Desktop\.tmp.driveupload\3100097   3.11 2025/12/28 17:25:35
C:\Users\mana4\Desktop\.tmp.driveupload\3100095   0.00 2025/12/28 17:25:35
C:\Users\mana4\Desktop\.tmp.driveupload\3100259   0.00 2025/12/28 17:25:39
C:\Users\mana4\Desktop\.tmp.driveupload\3100257   0.00 2025/12/28 17:25:39
C:\Users\mana4\Desktop\.tmp.driveupload\3100261   0.00 2025/12/28 17:25:39
C:\Users\mana4\Desktop\.tmp.driveupload\3094132   0.01 2025/12/29 8:47:40
C:\Users\mana4\Desktop\.tmp.driveupload\3155693   0.20 2025/12/29 8:47:41
C:\Users\mana4\Desktop\.tmp.driveupload\3155760   0.00 2025/12/29 8:54:39
C:\Users\mana4\Desktop\.tmp.driveupload\3155756   0.00 2025/12/29 8:54:39
C:\Users\mana4\Desktop\.tmp.driveupload\3155764   0.00 2025/12/29 8:54:39
C:\Users\mana4\Desktop\.tmp.driveupload\3155782   0.00 2025/12/29 8:56:12
